N,Seed,Obj_Static,T_Static,Obj_K2,T_K2,Obj_K3,T_K3,Depth,Leaves,T_Train,T_Solve,Obj_Student,Impv_Student,Gap_Closed
20,2024,3.28214761347342,195.80862402915955,5.396972547246117,1201.3024475574493,6.364803678461193,1201.0348098278046,3,8,0.017402172088623047,0.6593213081359863,4.7378450128370835,44.35197836282362,47.222180115946124
20,2024,3.28214761347342,195.80862402915955,5.396972547246117,1201.3024475574493,6.364803678461193,1201.0348098278046,4,16,0.013682365417480469,1.2301805019378662,5.244192223287769,59.779292124462444,63.64785978231181
20,2024,3.28214761347342,195.80862402915955,5.396972547246117,1201.3024475574493,6.364803678461193,1201.0348098278046,5,32,0.0160214900970459,0.9134180545806885,5.5547646610827615,69.2417683555763,73.7226923697813
20,2024,3.28214761347342,195.80862402915955,5.396972547246117,1201.3024475574493,6.364803678461193,1201.0348098278046,6,64,0.020055294036865234,2.840233087539673,5.842500946664433,78.00847599543066,83.05673027461688
20,2124,2.4436773331653967,75.96539282798767,4.016559493419493,1201.2994606494904,4.691162740877603,1201.2581942081451,3,8,0.005365610122680664,0.14341235160827637,3.444032683513425,40.93647458161861,44.50998199656054
20,2124,2.4436773331653967,75.96539282798767,4.016559493419493,1201.2994606494904,4.691162740877603,1201.2581942081451,4,16,0.0070896148681640625,0.2034916877746582,3.697796849864891,51.32099478432291,55.80100820214474
20,2124,2.4436773331653967,75.96539282798767,4.016559493419493,1201.2994606494904,4.691162740877603,1201.2581942081451,5,32,0.008077383041381836,0.6252446174621582,3.9394273448152854,61.20898169941208,66.55215675782584
20,2124,2.4436773331653967,75.96539282798767,4.016559493419493,1201.2994606494904,4.691162740877603,1201.2581942081451,6,64,0.020140886306762695,2.688434600830078,4.1420396714782175,69.50026974767825,75.5672242624989
20,2224,3.2216379317322046,262.03082060813904,5.299049689784566,1202.683667421341,6.205068883145987,1201.5314943790436,3,8,0.03199005126953125,1.4108517169952393,4.124474064868113,28.024134066812184,30.261673483948876
20,2224,3.2216379317322046,262.03082060813904,5.299049689784566,1202.683667421341,6.205068883145987,1201.5314943790436,4,16,0.014722108840942383,0.6305375099182129,4.807114950390542,49.213383137870515,53.142742181011904
20,2224,3.2216379317322046,262.03082060813904,5.299049689784566,1202.683667421341,6.205068883145987,1201.5314943790436,5,32,0.019341707229614258,2.0048344135284424,5.354219085490671,66.19555638928747,71.48082823059414
20,2224,3.2216379317322046,262.03082060813904,5.299049689784566,1202.683667421341,6.205068883145987,1201.5314943790436,6,64,0.021939516067504883,4.133471250534058,5.529785260731183,71.64515001094296,77.36553540497385
20,2324,3.0577109428525753,219.52533745765686,5.016667274144929,1201.2165849208832,5.795900036396496,1201.1626267433167,3,8,0.011500358581542969,0.3554391860961914,4.410458274332359,44.24052360612574,49.40299173162583
20,2324,3.0577109428525753,219.52533745765686,5.016667274144929,1201.2165849208832,5.795900036396496,1201.1626267433167,4,16,0.014961957931518555,1.5687410831451416,4.741932672185909,55.08112966891838,61.50859826680259
20,2324,3.0577109428525753,219.52533745765686,5.016667274144929,1201.2165849208832,5.795900036396496,1201.1626267433167,5,32,0.018743276596069336,4.521360874176025,5.080737488494546,66.16147122640263,73.88191525602983
20,2324,3.0577109428525753,219.52533745765686,5.016667274144929,1201.2165849208832,5.795900036396496,1201.1626267433167,6,64,0.02324223518371582,1.365572452545166,5.308935820606523,73.62451584955095,82.21582954449227
20,2424,3.9486633707451966,300.13108229637146,6.490461312987374,1201.3968131542206,7.612429479018352,1201.1415271759033,3,8,0.005651950836181641,1.4186406135559082,5.637296710027929,42.76468214012509,46.09009662133254
20,2424,3.9486633707451966,300.13108229637146,6.490461312987374,1201.3968131542206,7.612429479018352,1201.1415271759033,4,16,0.014631271362304688,1.3903272151947021,6.347868717763094,60.759936255723844,65.4846754982598
20,2424,3.9486633707451966,300.13108229637146,6.490461312987374,1201.3968131542206,7.612429479018352,1201.1415271759033,5,32,0.016917943954467773,1.6014702320098877,6.559658447546666,66.123516533361,71.26533189183606
20,2424,3.9486633707451966,300.13108229637146,6.490461312987374,1201.3968131542206,7.612429479018352,1201.1415271759033,6,64,0.019672393798828125,3.5190627574920654,6.711634245940409,69.97230748170313,75.41340777611715
