N,Seed,Obj_Static,Obj_K2,Obj_UB,Depth,Leaves,Obj_Tree,T_Tree,Obj_Rand,T_Rand,Impv_Tree,Impv_Rand,Val_Learn,Gap_Tree_UB,Gap_Rand_UB
15,2024,2.3862061364855887,3.9143921288453782,6.382185628926919,2,4,2.9650786057621876,0.09236717224121094,2.786373054070429,0.0781090259552002,24.259114098548253,16.77000622310892,6.413554402943269,115.24507365585836,129.04993355443216
15,2024,2.3862061364855887,3.9143921288453782,6.382185628926919,3,8,3.307587026991211,0.4025859832763672,2.884366309102846,0.06693410873413086,38.612795282751,20.87666128253903,14.672918503891538,92.95593968792883,121.26820746675675
15,2024,2.3862061364855887,3.9143921288453782,6.382185628926919,4,16,3.7241286562570193,0.30829501152038574,2.9959353365246506,0.10385751724243164,56.069025190838154,25.55224340077647,24.30604261896682,71.37392979708204,113.0281502113591
15,2024,2.3862061364855887,3.9143921288453782,6.382185628926919,5,32,3.881395414616679,0.5118799209594727,3.24437174596266,0.43334436416625977,62.659686238725776,35.96359913569665,19.634731113866337,64.43018417790383,96.71560871127043
15,2024,2.3862061364855887,3.9143921288453782,6.382185628926919,6,64,4.032529544855243,2.7565858364105225,3.250016484337458,0.7735693454742432,68.99334400314486,36.200156166059145,24.07720281693606,58.26754789854919,96.37394639947429
15,2024,2.3862061364855887,3.9143921288453782,6.382185628926919,7,128,4.2180786597329325,4.7725255489349365,3.432493609449337,1.5778346061706543,76.7692486930459,43.84732135944983,22.886715597108555,51.30551475611901,85.93437760109308
15,2024,2.3862061364855887,3.9143921288453782,6.382185628926919,8,256,4.2453498693933955,10.086435556411743,3.487345619545554,2.1514995098114014,77.91211767001653,46.146033497413036,21.735851061031898,50.333560843569515,83.00983972327354
15,2024,2.3862061364855887,3.9143921288453782,6.382185628926919,9,512,4.246164883734156,12.315005779266357,3.630869446700543,6.280787229537964,77.94627290615891,52.16076227379492,16.946228611792886,50.304705626841006,75.7756846566478
15,2124,2.073308557801052,3.3967926898754683,5.487232310355963,2,4,2.616182921001136,0.07881045341491699,2.389579933870509,0.08030438423156738,26.183963846454954,15.254428718747674,9.482963257210999,109.74192080789828,129.63167009307986
15,2124,2.073308557801052,3.3967926898754683,5.487232310355963,3,8,2.8975138649491354,0.2882575988769531,2.7446564698135085,0.14298701286315918,39.75314258203007,32.38051130819077,5.56927239590072,89.3772580947525,99.92419345393722
15,2124,2.073308557801052,3.3967926898754683,5.487232310355963,4,16,3.262698636193455,0.2503368854522705,2.7772901429227583,0.17925262451171875,57.366766462097104,33.95450148859407,17.477773955581885,68.18078904026025,97.57504718543096
15,2124,2.073308557801052,3.3967926898754683,5.487232310355963,5,32,3.405408869982351,0.3455538749694824,2.883369591006523,0.22965383529663086,64.24997896087994,39.070934722066674,18.10518084827257,61.13284835557503,90.30624195632468
15,2124,2.073308557801052,3.3967926898754683,5.487232310355963,6,64,3.489623355441818,1.5068933963775635,2.926113875238954,1.1190552711486816,68.31181940149361,41.13258078394209,19.257947715956416,57.244256799204884,87.52627355994001
15,2124,2.073308557801052,3.3967926898754683,5.487232310355963,7,128,3.5917371945189096,1.1961438655853271,3.011177399718591,3.125143051147461,73.23698303393398,45.2353721489599,19.280159144877167,52.77376971593666,82.2287956487974
15,2124,2.073308557801052,3.3967926898754683,5.487232310355963,8,256,3.6275996984975536,1.6687846183776855,3.031945924412759,9.220675706863403,74.96670646770399,46.23708145151518,19.6459234080886,51.26344598133623,80.98054672326501
15,2124,2.073308557801052,3.3967926898754683,5.487232310355963,9,512,3.7896722269494285,25.196677923202515,3.242276291959568,13.103265285491943,82.78380285897963,56.38175416583056,16.883074904730748,44.7943775014289,69.24012071283374
15,2224,2.3118124568697023,3.7735294182642205,6.112870047661646,2,4,2.888675090808532,0.2599143981933594,2.801408723698068,0.19671416282653809,24.95283007168875,21.17802702262886,3.1150887184810996,111.615008801515,118.20700406730379
15,2224,2.3118124568697023,3.7735294182642205,6.112870047661646,3,8,3.2854260707686724,0.43520212173461914,2.8544155489485576,0.18014049530029297,42.11473171216002,23.470895766932767,15.099781879302062,86.06019176780481,114.15487488895447
15,2224,2.3118124568697023,3.7735294182642205,6.112870047661646,4,16,3.5582373308642805,0.7557635307312012,2.9093107098540516,0.38425207138061523,53.91548394380976,25.845446554665113,22.305167296578745,71.7948939110494,110.11403240488893
15,2224,2.3118124568697023,3.7735294182642205,6.112870047661646,5,32,3.819837714197026,1.2007794380187988,3.037378919025518,0.35150575637817383,65.23129732457873,31.38517832619801,25.760987220604814,60.02957468434341,101.25477296796537
15,2224,2.3118124568697023,3.7735294182642205,6.112870047661646,6,64,4.036557515891615,2.2348384857177734,3.208854314480416,0.9222478866577148,74.60575159964726,38.802535860774306,25.794352759365523,51.437704618248326,90.50008035816528
15,2224,2.3118124568697023,3.7735294182642205,6.112870047661646,7,128,4.171329872788577,3.0778894424438477,3.3153716394652575,3.6804039478302,80.43547868224329,43.410060345224515,25.817866785558262,46.544872596593045,84.37963258464751
15,2224,2.3118124568697023,3.7735294182642205,6.112870047661646,8,256,4.263533947868401,16.266982316970825,3.3719553812107548,3.7607617378234863,84.42386774061325,45.85765256133854,26.44099538284848,43.375662593652855,81.28561492016902
15,2224,2.3118124568697023,3.7735294182642205,6.112870047661646,9,512,4.319253055680187,32.79566287994385,3.41561328194763,6.951785326004028,86.83405926139224,47.746123254847575,26.45615001289869,41.52609186958146,78.96844704199074
