N,Seed,Obj_Static,T_Static,Obj_K2,T_K2,Obj_K3,T_K3,Depth,Leaves,T_Solve,Obj_Student,Impv_Student,Gap_Closed_K2
15,2024,2.3862061364855887,5.326771259307861,3.9143921288453782,1201.3076684474945,4.608227865193049,1201.0436980724335,2,4,0.20363712310791016,2.9650786057621876,24.259114098548253,37.87971308274574
15,2024,2.3862061364855887,5.326771259307861,3.9143921288453782,1201.3076684474945,4.608227865193049,1201.0436980724335,3,8,0.6090378761291504,3.307587026991211,38.612795282751,60.29245753541079
15,2024,2.3862061364855887,5.326771259307861,3.9143921288453782,1201.3076684474945,4.608227865193049,1201.0436980724335,4,16,0.901256799697876,3.7241286562570193,56.069025190838154,87.54971753833716
15,2024,2.3862061364855887,5.326771259307861,3.9143921288453782,1201.3076684474945,4.608227865193049,1201.0436980724335,5,32,1.3588554859161377,3.881395414616679,62.659686238725776,97.84079199824714
15,2024,2.3862061364855887,5.326771259307861,3.9143921288453782,1201.3076684474945,4.608227865193049,1201.0436980724335,6,64,3.2040369510650635,4.032529544855243,68.99334400314486,107.73056529771222
15,2024,2.3862061364855887,5.326771259307861,3.9143921288453782,1201.3076684474945,4.608227865193049,1201.0436980724335,7,128,6.34703516960144,4.2180786597329325,76.7692486930459,119.87235404629044
15,2024,2.3862061364855887,5.326771259307861,3.9143921288453782,1201.3076684474945,4.608227865193049,1201.0436980724335,8,256,13.169903755187988,4.2453498693933955,77.91211767001653,121.65690185636109
15,2024,2.3862061364855887,5.326771259307861,3.9143921288453782,1201.3076684474945,4.608227865193049,1201.0436980724335,9,512,14.120350360870361,4.246164883734156,77.94627290615891,121.71023399949259
15,2024,2.3862061364855887,5.326771259307861,3.9143921288453782,1201.3076684474945,4.608227865193049,1201.0436980724335,10,1024,29.816030979156494,4.2461648837341555,77.94627290615888,121.71023399949252
15,2024,2.3862061364855887,5.326771259307861,3.9143921288453782,1201.3076684474945,4.608227865193049,1201.0436980724335,11,2048,24.504451274871826,4.246164883734156,77.94627290615891,121.71023399949259
15,2124,2.073308557801052,3.2638678550720215,3.3967926898754683,1201.0718157291412,3.9720896439745736,1200.7118804454803,2,4,0.055267333984375,2.616182921001136,26.183963846454954,41.01857740819212
15,2124,2.073308557801052,3.2638678550720215,3.3967926898754683,1201.0718157291412,3.9720896439745736,1200.7118804454803,3,8,0.1751112937927246,2.8975138649491354,39.75314258203007,62.27542039784277
15,2124,2.073308557801052,3.2638678550720215,3.3967926898754683,1201.0718157291412,3.9720896439745736,1200.7118804454803,4,16,0.22287726402282715,3.262698636193455,57.366766462097104,89.86810265176088
15,2124,2.073308557801052,3.2638678550720215,3.3967926898754683,1201.0718157291412,3.9720896439745736,1200.7118804454803,5,32,0.5835881233215332,3.405408869982351,64.24997896087994,100.65102254708394
15,2124,2.073308557801052,3.2638678550720215,3.3967926898754683,1201.0718157291412,3.9720896439745736,1200.7118804454803,6,64,1.759634256362915,3.489623355441818,68.31181940149361,107.01411247151471
15,2124,2.073308557801052,3.2638678550720215,3.3967926898754683,1201.0718157291412,3.9720896439745736,1200.7118804454803,7,128,1.2316830158233643,3.5917371945189096,73.23698303393398,114.72964427143431
15,2124,2.073308557801052,3.2638678550720215,3.3967926898754683,1201.0718157291412,3.9720896439745736,1200.7118804454803,8,256,2.4912290573120117,3.6275996984975536,74.96670646770399,117.43934838571283
15,2124,2.073308557801052,3.2638678550720215,3.3967926898754683,1201.0718157291412,3.9720896439745736,1200.7118804454803,9,512,28.744141101837158,3.7896722269494285,82.78380285897963,129.68524726157196
