N,Seed,Obj_Static,T_Static,Obj_K2,T_K2,Obj_K3,T_K3,Depth,Leaves,T_Solve,Obj_Student,Impv_Student,Gap_Closed_K2
15,2024,2.3862061364855887,5.326771259307861,3.9143921288453782,1201.3076684474945,4.608227865193049,1201.0436980724335,2,4,0.11888527870178223,2.9650786057621876,24.259114098548253,37.87971308274574
15,2024,2.3862061364855887,5.326771259307861,3.9143921288453782,1201.3076684474945,4.608227865193049,1201.0436980724335,3,8,0.19664764404296875,3.307587026991211,38.612795282751,60.29245753541079
15,2024,2.3862061364855887,5.326771259307861,3.9143921288453782,1201.3076684474945,4.608227865193049,1201.0436980724335,4,16,0.37467336654663086,3.7241286562570193,56.069025190838154,87.54971753833716
15,2024,2.3862061364855887,5.326771259307861,3.9143921288453782,1201.3076684474945,4.608227865193049,1201.0436980724335,5,32,1.19795823097229,3.881395414616679,62.659686238725776,97.84079199824714
15,2024,2.3862061364855887,5.326771259307861,3.9143921288453782,1201.3076684474945,4.608227865193049,1201.0436980724335,6,64,1.9658985137939453,4.032529544855243,68.99334400314486,107.73056529771222
15,2024,2.3862061364855887,5.326771259307861,3.9143921288453782,1201.3076684474945,4.608227865193049,1201.0436980724335,7,128,5.487673997879028,4.2180786597329325,76.7692486930459,119.87235404629044
15,2024,2.3862061364855887,5.326771259307861,3.9143921288453782,1201.3076684474945,4.608227865193049,1201.0436980724335,8,256,11.64790153503418,4.2453498693933955,77.91211767001653,121.65690185636109
15,2124,2.073308557801052,3.2638678550720215,3.3967926898754683,1201.0718157291412,3.9720896439745736,1200.7118804454803,2,4,0.06533646583557129,2.616182921001136,26.183963846454954,41.01857740819212
15,2124,2.073308557801052,3.2638678550720215,3.3967926898754683,1201.0718157291412,3.9720896439745736,1200.7118804454803,3,8,0.24610114097595215,2.8975138649491354,39.75314258203007,62.27542039784277
15,2124,2.073308557801052,3.2638678550720215,3.3967926898754683,1201.0718157291412,3.9720896439745736,1200.7118804454803,4,16,0.4512052536010742,3.262698636193455,57.366766462097104,89.86810265176088
15,2124,2.073308557801052,3.2638678550720215,3.3967926898754683,1201.0718157291412,3.9720896439745736,1200.7118804454803,5,32,0.48899173736572266,3.405408869982351,64.24997896087994,100.65102254708394
15,2124,2.073308557801052,3.2638678550720215,3.3967926898754683,1201.0718157291412,3.9720896439745736,1200.7118804454803,6,64,0.9153773784637451,3.489623355441818,68.31181940149361,107.01411247151471
15,2124,2.073308557801052,3.2638678550720215,3.3967926898754683,1201.0718157291412,3.9720896439745736,1200.7118804454803,7,128,1.0130689144134521,3.5917371945189096,73.23698303393398,114.72964427143431
15,2124,2.073308557801052,3.2638678550720215,3.3967926898754683,1201.0718157291412,3.9720896439745736,1200.7118804454803,8,256,1.9871501922607422,3.6275996984975536,74.96670646770399,117.43934838571283
15,2224,2.3118124568697023,6.50405740737915,3.7735294182642205,1201.14106798172,4.436927807962652,1200.97123503685,2,4,0.18457651138305664,2.888675090808532,24.95283007168875,39.464728752171474
15,2224,2.3118124568697023,6.50405740737915,3.7735294182642205,1201.14106798172,4.436927807962652,1200.97123503685,3,8,0.22171592712402344,3.2854260707686724,42.11473171216002,66.60753344273408
15,2224,2.3118124568697023,6.50405740737915,3.7735294182642205,1201.14106798172,4.436927807962652,1200.97123503685,4,16,0.2939727306365967,3.5582373308642805,53.91548394380976,85.27128759629734
15,2224,2.3118124568697023,6.50405740737915,3.7735294182642205,1201.14106798172,4.436927807962652,1200.97123503685,5,32,0.5682384967803955,3.819837714197026,65.23129732457873,103.16807543155456
15,2224,2.3118124568697023,6.50405740737915,3.7735294182642205,1201.14106798172,4.436927807962652,1200.97123503685,6,64,2.039457321166992,4.036557515891615,74.60575159964726,117.99446162111018
15,2224,2.3118124568697023,6.50405740737915,3.7735294182642205,1201.14106798172,4.436927807962652,1200.97123503685,7,128,3.6679110527038574,4.171329872788577,80.43547868224329,127.2146020762353
15,2224,2.3118124568697023,6.50405740737915,3.7735294182642205,1201.14106798172,4.436927807962652,1200.97123503685,8,256,13.802728414535522,4.263533947868401,84.42386774061325,133.52253155335237
15,2324,2.6320654803354153,5.638549089431763,4.242303400715507,1201.4297931194305,4.943475215168025,1200.9124941825867,2,4,0.04544949531555176,3.3871829892464764,28.689161213984438,46.89477867549027
15,2324,2.6320654803354153,5.638549089431763,4.242303400715507,1201.4297931194305,4.943475215168025,1200.9124941825867,3,8,0.051849365234375,3.650541195790486,38.69492317209684,63.250014334196216
15,2324,2.6320654803354153,5.638549089431763,4.242303400715507,1201.4297931194305,4.943475215168025,1200.9124941825867,4,16,0.24089550971984863,3.9453933487931447,49.89723387468181,81.56110670575455
15,2324,2.6320654803354153,5.638549089431763,4.242303400715507,1201.4297931194305,4.943475215168025,1200.9124941825867,5,32,0.19170284271240234,4.271621498352422,62.291612053970304,101.82073079175747
15,2324,2.6320654803354153,5.638549089431763,4.242303400715507,1201.4297931194305,4.943475215168025,1200.9124941825867,6,64,1.2979743480682373,4.462796026853505,69.55490128174137,113.69317063940166
15,2324,2.6320654803354153,5.638549089431763,4.242303400715507,1201.4297931194305,4.943475215168025,1200.9124941825867,7,128,8.821723699569702,4.613699843315469,75.2881863230669,123.06469360206688
15,2324,2.6320654803354153,5.638549089431763,4.242303400715507,1201.4297931194305,4.943475215168025,1200.9124941825867,8,256,10.814575910568237,4.784927556640213,81.79363668530195,133.69838388830274
15,2424,3.0203814361866272,12.794677734375,4.882558698116881,1201.8373062610626,5.651326144153579,1201.0227601528168,2,4,0.1352541446685791,3.890645523905055,28.81305246059176,46.733686717683845
