N,Seed,Obj_Static,Obj_K2,Obj_K3,Obj_UB,Depth,Obj_Tree,T_Tree,Obj_Rand,Gap_Tree_UB,Gap_Rand_UB,Gap_K3_UB,Val_Learn,Impv_vs_K2
10,2024,1.385206750718731,2.2142554604234217,2.6014259875737142,3.2643151974909395,2,1.752554479623389,0.05470848083496094,1.5568443732435933,86.26041218372947,109.67511291381884,25.4817631977101,12.570948628092173,-20.851296928121556
10,2024,1.385206750718731,2.2142554604234217,2.6014259875737142,3.2643151974909395,3,1.8556183658350491,0.12151074409484863,1.5825701468058506,75.9152236037479,106.26669876715455,25.4817631977101,17.25346706307458,-16.196735245706115
10,2024,1.385206750718731,2.2142554604234217,2.6014259875737142,3.2643151974909395,4,1.9404686654160619,0.2255997657775879,1.6468378203827259,68.22303063528355,98.2171624363297,25.4817631977101,17.829979455116966,-12.364733875602811
10,2024,1.385206750718731,2.2142554604234217,2.6014259875737142,3.2643151974909395,5,2.0896871984212275,0.27495551109313965,1.7979847753033935,56.2107094285284,81.55410670483103,25.4817631977101,16.223853901577776,-5.6257403099447965
10,2024,1.385206750718731,2.2142554604234217,2.6014259875737142,3.2643151974909395,6,2.1462379902051154,0.5471749305725098,1.7979847753033935,52.09474496250854,81.55410670483103,25.4817631977101,19.36908586130588,-3.0717986896281437
10,2024,1.385206750718731,2.2142554604234217,2.6014259875737142,3.2643151974909395,7,2.293452069461469,0.9446406364440918,1.9213127097980847,42.331956309749316,69.90025521842273,25.4817631977101,19.36901566130238,3.5766699214959936
10,2024,1.385206750718731,2.2142554604234217,2.6014259875737142,3.2643151974909395,8,2.333073256624663,1.6725788116455078,1.9967429214213621,39.91481785760709,63.48199672931698,25.4817631977101,16.84394779092981,5.3660383061004335
10,2024,1.385206750718731,2.2142554604234217,2.6014259875737142,3.2643151974909395,9,2.4594946187577245,6.3016133308410645,2.029909679650436,32.723006287353655,60.81085923256825,25.4817631977101,21.16276125060234,11.075468152505168
10,2124,1.3480690567604736,2.1326070498277048,2.438235910492949,2.9236284621226796,2,1.5899923316074867,0.04439067840576172,1.4950031938631356,83.87689072480514,95.56001446177055,19.90753025746374,6.353774903911481,-25.443727116256902
10,2124,1.3480690567604736,2.1326070498277048,2.438235910492949,2.9236284621226796,3,1.6780238164657242,0.06147933006286621,1.7270838563601185,74.2304509289066,69.28121071575036,19.90753025746374,-2.8406287114390527,-21.31584594539846
10,2124,1.3480690567604736,2.1326070498277048,2.438235910492949,2.9236284621226796,4,1.8683593166697081,0.09555530548095703,1.733658560359722,56.48105993519253,68.6392308711611,19.90753025746374,7.769739635585253,-12.390830893077347
10,2124,1.3480690567604736,2.1326070498277048,2.438235910492949,2.9236284621226796,5,1.99144469316786,0.29740190505981445,1.752495648328836,46.80942293566599,66.82657471421541,19.90753025746374,13.634786772046112,-6.61923895784033
10,2124,1.3480690567604736,2.1326070498277048,2.438235910492949,2.9236284621226796,6,2.053633245977446,0.29594993591308594,1.7734265942385259,42.36370918952236,64.85759667870705,19.90753025746374,15.800296028561323,-3.7031577784870926
10,2124,1.3480690567604736,2.1326070498277048,2.438235910492949,2.9236284621226796,7,2.1969159843484376,1.7114217281341553,1.7858937960219448,33.078755990287476,63.70673713269087,19.90753025746374,23.014928952776444,3.015507921439555
10,2124,1.3480690567604736,2.1326070498277048,2.438235910492949,2.9236284621226796,8,2.27945558710231,2.285705327987671,1.835688372369471,28.259944114079243,59.26605550967873,19.90753025746374,24.174430770078516,6.885869447279054
10,2124,1.3480690567604736,2.1326070498277048,2.438235910492949,2.9236284621226796,9,2.287698677001597,3.3155620098114014,1.9304089872250094,27.797794854459273,51.45124590025026,19.90753025746374,18.508497014935493,7.272395877450655
10,2224,1.8190244518329832,2.911025458797708,3.419108188903542,3.7979189042323416,2,2.2759371248511777,0.18755722045898438,2.1834585118231216,66.87275156956215,73.94051151726234,11.07922576296945,4.235418833346154,-21.81665337302924
10,2224,1.8190244518329832,2.911025458797708,3.419108188903542,3.7979189042323416,3,2.5230443556122757,0.17840147018432617,2.220945635158693,50.529216649886756,71.00458669988872,11.07922576296945,13.602256429477919,-13.327987290969054
10,2224,1.8190244518329832,2.911025458797708,3.419108188903542,3.7979189042323416,4,2.6522156855682666,0.404371976852417,2.2505462142902593,43.19796556887474,68.7554283540926,11.07922576296945,17.847643773210823,-8.890673643793315
10,2224,1.8190244518329832,2.911025458797708,3.419108188903542,3.7979189042323416,5,2.7641901366228585,0.6004064083099365,2.3255492928197374,37.397165770674455,63.312767265722,11.07922576296945,18.861816653701947,-5.044109859330953
10,2224,1.8190244518329832,2.911025458797708,3.419108188903542,3.7979189042323416,6,2.975716431373357,0.8643884658813477,2.4304320252231824,27.630404032803646,56.26517692399092,11.07922576296945,22.435698694354635,2.222274366585831
10,2224,1.8190244518329832,2.911025458797708,3.419108188903542,3.7979189042323416,7,3.101864306749957,3.2307217121124268,2.516113719141174,22.43987900978461,50.943849450838286,11.07922576296945,23.279972727493313,6.555725831098301
10,2224,1.8190244518329832,2.911025458797708,3.419108188903542,3.7979189042323416,8,3.2023610587239477,3.549428939819336,2.5227277853166967,18.597460891736773,50.54810615468608,11.07922576296945,26.940412570987384,10.008005908906252
10,2224,1.8190244518329832,2.911025458797708,3.419108188903542,3.7979189042323416,9,3.2904968010526816,9.14094066619873,2.6601274180697594,15.420835632398354,42.772067173691475,11.07922576296945,23.696961983886116,13.035658657952807
